;age;job;marital;education;default;balance;housing;loan;contact;days since last contact;number previous contacts;previous outcome
1096;46;technician;married;tertiary;no;217;yes;no;cellular;346;2;other
1097;45;management;divorced;tertiary;no;2096;no;no;cellular;100;2;failure
1098;37;technician;single;secondary;no;0;no;no;cellular;-1;0;unknown
1099;58;housemaid;married;primary;no;5278;yes;no;unknown;-1;0;unknown
1100;59;management;married;tertiary;no;1831;no;no;cellular;92;1;failure
1101;28;management;married;tertiary;no;1480;yes;no;cellular;-1;0;unknown
1102;48;management;married;tertiary;no;7289;yes;no;cellular;-1;0;unknown
1103;55;blue-collar;married;unknown;no;1665;no;no;telephone;-1;0;unknown
1104;37;blue-collar;single;primary;no;851;yes;no;cellular;352;1;failure
1105;41;management;married;tertiary;no;2885;no;no;cellular;-1;0;unknown
1106;35;blue-collar;married;secondary;no;137;no;yes;unknown;808;12;failure
1107;34;blue-collar;single;secondary;no;1239;yes;no;cellular;-1;0;unknown
1108;43;management;single;tertiary;no;146;no;no;cellular;113;5;other
1109;59;technician;married;secondary;no;1;no;no;cellular;378;3;failure
1110;50;blue-collar;divorced;primary;no;-10;no;yes;cellular;-1;0;unknown
1111;37;technician;married;secondary;no;480;no;no;cellular;182;8;other
1112;35;technician;married;secondary;no;2789;yes;no;cellular;94;1;failure
1113;50;technician;single;secondary;no;3897;no;no;cellular;-1;0;unknown
1114;36;technician;divorced;secondary;no;487;no;yes;cellular;-1;0;unknown
1115;41;admin.;married;secondary;no;5110;yes;no;cellular;-1;0;unknown
1116;28;management;married;tertiary;no;318;yes;no;unknown;-1;0;unknown
1117;42;technician;single;tertiary;no;-411;yes;no;cellular;292;3;failure
1118;60;retired;married;secondary;no;4820;no;no;unknown;-1;0;unknown
1119;28;management;single;tertiary;no;4937;yes;no;telephone;-1;0;unknown
1120;48;entrepreneur;married;secondary;no;725;no;yes;cellular;-1;0;unknown
1121;51;entrepreneur;married;tertiary;no;5403;no;no;unknown;-1;0;unknown
1122;32;technician;married;tertiary;no;4089;no;no;cellular;287;3;failure
1123;35;technician;married;tertiary;no;188;no;no;cellular;-1;0;unknown
1124;37;technician;married;unknown;no;189;no;no;cellular;107;2;success
1125;38;blue-collar;divorced;secondary;no;2998;yes;no;unknown;-1;0;unknown
1126;77;retired;married;secondary;no;610;no;no;cellular;-1;0;unknown
1127;32;management;single;unknown;no;787;no;no;cellular;-1;0;unknown
1128;43;technician;divorced;secondary;no;167;no;no;cellular;-1;0;unknown
1129;36;management;single;tertiary;no;243;yes;no;cellular;360;3;failure
1130;29;management;married;tertiary;no;877;no;no;cellular;-1;0;unknown
1131;32;admin.;single;secondary;no;2817;yes;no;cellular;-1;0;unknown
1132;41;management;divorced;tertiary;no;4567;yes;yes;cellular;-1;0;unknown
1133;26;services;single;secondary;no;127;yes;yes;cellular;-1;0;unknown
1134;34;blue-collar;married;primary;no;176;no;no;cellular;-1;0;unknown
1135;57;retired;married;tertiary;no;0;yes;yes;unknown;-1;0;unknown
1136;36;services;single;secondary;no;1482;yes;no;cellular;174;1;other
1137;42;blue-collar;married;secondary;no;3052;yes;no;unknown;-1;0;unknown
1138;35;technician;divorced;secondary;no;56;no;no;cellular;-1;0;unknown
1139;52;entrepreneur;divorced;primary;no;278;yes;no;unknown;-1;0;unknown
1140;36;management;single;tertiary;no;3875;yes;no;unknown;-1;0;unknown
1141;46;technician;married;secondary;no;-337;yes;no;unknown;-1;0;unknown
1142;60;management;divorced;tertiary;no;366;no;no;cellular;-1;0;unknown
1143;57;housemaid;married;primary;no;501;yes;yes;cellular;-1;0;unknown
1144;48;management;married;tertiary;no;998;yes;no;cellular;-1;0;unknown
1145;59;self-employed;married;primary;no;0;yes;no;telephone;-1;0;unknown
1146;39;management;married;tertiary;no;246;no;no;cellular;-1;0;unknown
1147;44;blue-collar;married;secondary;no;-182;yes;yes;cellular;-1;0;unknown
1148;27;management;single;tertiary;no;446;no;no;cellular;-1;0;unknown
1149;59;retired;married;secondary;no;1173;no;no;unknown;-1;0;unknown
1150;36;technician;divorced;secondary;no;5957;yes;no;cellular;-1;0;unknown
1151;44;admin.;married;secondary;no;205;no;no;cellular;-1;0;unknown
1152;50;admin.;married;secondary;no;0;no;no;cellular;-1;0;unknown
1153;41;management;divorced;tertiary;no;369;yes;no;telephone;-1;0;unknown
1154;47;admin.;married;secondary;no;1934;no;yes;cellular;364;1;failure
1155;32;technician;single;tertiary;no;259;no;no;cellular;-1;0;unknown
1156;38;blue-collar;married;secondary;no;284;yes;yes;unknown;-1;0;unknown
1157;55;blue-collar;married;unknown;no;23;no;no;cellular;-1;0;unknown
1158;38;management;single;tertiary;no;1373;no;no;cellular;-1;0;unknown
1159;31;management;single;tertiary;no;62;yes;no;cellular;293;5;failure
1160;38;blue-collar;divorced;secondary;no;157;no;no;unknown;-1;0;unknown
1161;29;unemployed;single;tertiary;no;991;no;no;cellular;-1;0;unknown
1162;55;services;married;secondary;no;186;yes;yes;unknown;-1;0;unknown
1163;35;unemployed;married;secondary;no;977;yes;no;cellular;91;1;other
1164;40;self-employed;single;tertiary;no;2893;no;no;cellular;-1;0;unknown
1165;34;blue-collar;married;secondary;no;1897;yes;yes;cellular;-1;0;unknown
1166;32;technician;single;tertiary;no;5514;no;no;cellular;182;1;success
1167;33;blue-collar;married;secondary;no;889;yes;no;unknown;373;6;success
1168;33;management;married;tertiary;no;273;yes;no;unknown;-1;0;unknown
1169;37;admin.;married;secondary;no;1193;no;no;cellular;-1;0;unknown
1170;58;management;married;tertiary;no;2729;no;no;unknown;-1;0;unknown
1171;36;admin.;single;secondary;no;0;no;no;cellular;-1;0;unknown
1172;42;blue-collar;married;secondary;no;230;yes;no;unknown;-1;0;unknown
1173;34;technician;single;secondary;no;2729;yes;no;cellular;139;1;success
1174;35;management;married;tertiary;no;317;yes;no;unknown;-1;0;unknown
1175;60;housemaid;married;primary;no;517;no;no;unknown;-1;0;unknown
1176;50;management;married;tertiary;no;-470;yes;no;cellular;170;3;failure
1177;28;self-employed;single;tertiary;no;4579;no;no;cellular;-1;0;unknown
1178;27;blue-collar;divorced;secondary;no;1;yes;no;cellular;-1;0;unknown
1179;37;management;married;tertiary;no;5106;no;no;cellular;-1;0;unknown
1180;31;technician;married;tertiary;no;636;yes;no;cellular;-1;0;unknown
1181;34;services;married;secondary;no;1076;no;no;cellular;182;6;success
1182;38;management;married;tertiary;no;126;yes;no;unknown;-1;0;unknown
1183;32;self-employed;married;secondary;no;-33;yes;no;unknown;-1;0;unknown
1184;37;technician;married;secondary;no;430;no;no;cellular;-1;0;unknown
1185;33;admin.;married;secondary;no;-6;yes;no;unknown;-1;0;unknown
1186;71;technician;married;tertiary;no;383;no;no;cellular;183;3;success
1187;27;technician;married;secondary;no;130;yes;no;cellular;-1;0;unknown
1188;38;blue-collar;married;primary;no;2569;no;no;unknown;-1;0;unknown
1189;34;technician;single;secondary;no;201;no;no;cellular;-1;0;unknown
1190;54;retired;divorced;tertiary;no;0;no;no;unknown;-1;0;unknown
1191;30;blue-collar;married;secondary;no;6;yes;no;cellular;-1;0;unknown
1192;35;entrepreneur;single;secondary;no;475;no;yes;cellular;-1;0;unknown
1193;33;blue-collar;single;secondary;no;706;yes;no;cellular;322;1;failure
1194;36;management;married;secondary;no;1825;yes;no;cellular;346;1;failure
1195;59;self-employed;married;tertiary;no;185;no;no;cellular;138;1;failure
1196;72;blue-collar;married;primary;no;4415;no;no;telephone;-1;0;unknown
1197;64;management;married;tertiary;no;679;no;no;telephone;-1;0;unknown
1198;53;technician;divorced;secondary;no;320;no;no;cellular;-1;0;unknown
1199;35;management;single;tertiary;no;2988;yes;no;cellular;-1;0;unknown
1200;58;self-employed;married;secondary;no;1407;yes;no;unknown;-1;0;unknown
1201;40;technician;married;secondary;no;1270;no;no;cellular;-1;0;unknown
1202;41;services;divorced;secondary;no;654;yes;no;cellular;-1;0;unknown
1203;48;retired;married;primary;no;5173;yes;no;unknown;-1;0;unknown
1204;44;entrepreneur;married;tertiary;no;3463;yes;yes;cellular;-1;0;unknown
1205;39;blue-collar;married;unknown;no;0;no;no;cellular;193;3;failure
1206;61;management;married;tertiary;no;6016;no;no;cellular;-1;0;unknown
1207;36;entrepreneur;married;primary;no;177;yes;no;unknown;-1;0;unknown
1208;28;management;married;tertiary;no;3694;no;yes;cellular;-1;0;unknown
1209;58;retired;single;secondary;no;1640;no;yes;cellular;274;4;failure
1210;60;admin.;divorced;secondary;no;174;yes;no;cellular;364;1;failure
1211;66;admin.;single;secondary;no;10177;no;no;cellular;-1;0;unknown
1212;36;management;single;tertiary;no;490;no;no;cellular;98;1;failure
1213;49;self-employed;married;secondary;no;2576;yes;no;cellular;-1;0;unknown
1214;40;services;married;secondary;no;0;no;no;unknown;-1;0;unknown
1215;23;technician;single;secondary;no;598;no;no;cellular;-1;0;unknown
1216;29;management;single;tertiary;no;15459;no;no;cellular;97;7;success
1217;44;blue-collar;married;primary;no;271;yes;yes;unknown;-1;0;unknown
1218;54;unknown;married;unknown;no;2508;no;no;unknown;-1;0;unknown
1219;47;blue-collar;married;primary;no;320;no;no;telephone;-1;0;unknown
1220;33;admin.;married;tertiary;no;640;no;no;cellular;-1;0;unknown
1221;30;self-employed;married;secondary;no;1772;yes;no;cellular;-1;0;unknown
1222;27;admin.;single;secondary;no;15;no;yes;cellular;-1;0;unknown
1223;49;management;divorced;tertiary;no;2370;yes;yes;unknown;103;2;other
1224;27;services;single;secondary;no;201;yes;no;unknown;-1;0;unknown
1225;51;blue-collar;married;secondary;no;160;yes;no;cellular;359;1;failure
1226;32;admin.;divorced;secondary;yes;5;yes;yes;cellular;363;2;other
1227;30;blue-collar;single;secondary;no;75;yes;no;unknown;-1;0;unknown
1228;33;admin.;married;secondary;no;4902;yes;no;cellular;-1;0;unknown
1229;27;blue-collar;single;primary;no;-79;yes;no;unknown;-1;0;unknown
1230;75;retired;divorced;secondary;no;1341;no;no;cellular;-1;0;unknown
1231;37;services;divorced;secondary;no;490;yes;no;cellular;-1;0;unknown
1232;36;technician;single;secondary;no;1521;yes;no;unknown;-1;0;unknown
1233;37;blue-collar;married;secondary;no;131;yes;no;unknown;-1;0;unknown
1234;35;management;married;tertiary;no;8;yes;no;unknown;-1;0;unknown
1235;32;services;married;secondary;no;-632;yes;yes;cellular;-1;0;unknown
1236;32;admin.;single;secondary;no;116;no;yes;cellular;-1;0;unknown
1237;35;admin.;married;primary;no;189;yes;no;cellular;-1;0;unknown
1238;31;blue-collar;married;primary;no;2;yes;yes;cellular;-1;0;unknown
1239;28;blue-collar;single;secondary;no;4229;yes;yes;cellular;-1;0;unknown
1240;27;services;married;secondary;no;54;yes;no;cellular;370;1;failure
1241;22;student;single;unknown;no;549;no;no;cellular;-1;0;unknown
1242;35;blue-collar;married;primary;no;298;yes;no;cellular;370;2;failure
1243;69;retired;married;primary;no;579;no;no;cellular;-1;0;unknown
1244;37;entrepreneur;single;tertiary;no;1467;yes;yes;cellular;-1;0;unknown
1245;45;admin.;single;secondary;no;0;yes;no;cellular;-1;0;unknown
1246;47;management;married;tertiary;no;109;yes;no;cellular;-1;0;unknown
1247;52;management;married;tertiary;no;-11;yes;no;cellular;-1;0;unknown
1248;33;services;married;secondary;no;90;yes;no;cellular;-1;0;unknown
1249;60;blue-collar;married;primary;no;493;no;no;cellular;-1;0;unknown
1250;33;management;divorced;secondary;no;1897;yes;yes;unknown;-1;0;unknown
1251;44;admin.;married;secondary;no;2403;yes;no;cellular;-1;0;unknown
1252;38;entrepreneur;married;secondary;no;868;no;no;cellular;-1;0;unknown
1253;54;entrepreneur;married;secondary;no;653;yes;no;unknown;-1;0;unknown
1254;32;unemployed;divorced;primary;no;0;no;no;cellular;-1;0;unknown
1255;33;technician;married;secondary;no;0;yes;yes;cellular;-1;0;unknown
1256;55;services;divorced;secondary;no;218;yes;no;unknown;-1;0;unknown
1257;51;blue-collar;married;primary;no;5050;no;yes;unknown;-1;0;unknown
1258;48;blue-collar;married;secondary;no;741;yes;no;cellular;-1;0;unknown
1259;37;services;single;secondary;no;1050;yes;no;cellular;-1;0;unknown
1260;33;services;single;secondary;no;-56;no;yes;cellular;-1;0;unknown
1261;30;blue-collar;married;primary;no;1;yes;yes;telephone;-1;0;unknown
1262;43;blue-collar;married;primary;no;-98;yes;yes;cellular;330;3;other
1263;49;technician;married;secondary;no;4667;yes;no;unknown;-1;0;unknown
1264;54;unemployed;married;primary;no;541;yes;no;cellular;-1;0;unknown
1265;31;unemployed;married;tertiary;no;7744;no;no;cellular;-1;0;unknown
1266;54;unknown;married;unknown;no;895;no;no;cellular;-1;0;unknown
1267;36;unemployed;married;secondary;no;-129;yes;no;cellular;-1;0;unknown
1268;30;admin.;married;secondary;no;0;no;no;cellular;-1;0;unknown
1269;27;technician;single;secondary;no;158;no;no;unknown;-1;0;unknown
1270;30;admin.;married;secondary;no;122;yes;no;unknown;-1;0;unknown
1271;30;blue-collar;married;secondary;no;673;yes;no;unknown;-1;0;unknown
1272;35;technician;divorced;secondary;no;0;no;no;cellular;-1;0;unknown
1273;33;services;divorced;secondary;no;411;yes;no;unknown;-1;0;unknown
1274;43;blue-collar;divorced;primary;no;-97;yes;yes;cellular;-1;0;unknown
1275;41;blue-collar;married;secondary;no;-217;yes;no;cellular;349;3;other
1276;41;management;divorced;tertiary;no;5037;no;no;cellular;185;5;other
1277;46;admin.;divorced;secondary;no;2232;no;no;cellular;-1;0;unknown
1278;54;blue-collar;married;secondary;no;-932;yes;no;unknown;-1;0;unknown
1279;32;management;married;tertiary;no;913;yes;no;cellular;674;4;failure
1280;30;technician;single;tertiary;no;236;yes;no;unknown;-1;0;unknown
1281;40;entrepreneur;married;primary;no;0;yes;no;cellular;-1;0;unknown
1282;30;blue-collar;married;primary;no;2581;no;no;unknown;-1;0;unknown
1283;27;admin.;married;secondary;no;639;no;yes;cellular;-1;0;unknown
1284;41;blue-collar;married;primary;no;849;yes;no;unknown;-1;0;unknown
1285;54;services;married;secondary;no;386;yes;no;cellular;-1;0;unknown
1286;32;management;single;tertiary;no;1218;yes;no;telephone;-1;0;unknown
1287;31;management;married;tertiary;no;2603;yes;no;cellular;-1;0;unknown
1288;42;blue-collar;married;secondary;no;-921;yes;no;unknown;-1;0;unknown
1289;48;admin.;married;primary;no;607;no;no;unknown;-1;0;unknown
1290;34;blue-collar;married;primary;no;79;yes;no;cellular;-1;0;unknown
1291;55;technician;divorced;secondary;no;61;yes;yes;cellular;-1;0;unknown
1292;49;technician;married;secondary;no;1091;no;no;telephone;-1;0;unknown
1293;46;management;divorced;tertiary;no;743;no;no;unknown;-1;0;unknown
1294;47;entrepreneur;married;unknown;no;209;yes;no;unknown;-1;0;unknown
1295;24;management;single;tertiary;no;172;no;no;cellular;-1;0;unknown
1296;58;entrepreneur;married;secondary;no;2;no;no;unknown;-1;0;unknown
1297;32;management;single;tertiary;no;41;no;no;cellular;-1;0;unknown
1298;25;student;single;secondary;no;1116;yes;no;cellular;-1;0;unknown
1299;49;blue-collar;married;secondary;no;-55;no;no;unknown;-1;0;unknown
1300;59;retired;divorced;secondary;no;5845;no;no;cellular;-1;0;unknown
1301;30;management;single;tertiary;no;329;yes;no;unknown;-1;0;unknown
1302;46;blue-collar;married;secondary;no;494;yes;no;unknown;-1;0;unknown
1303;42;management;married;unknown;no;1519;no;no;cellular;92;1;success
1304;37;entrepreneur;married;tertiary;no;2685;no;no;unknown;-1;0;unknown
1305;44;blue-collar;married;primary;no;-14;yes;yes;unknown;-1;0;unknown
1306;49;services;married;secondary;no;5673;no;yes;cellular;-1;0;unknown
1307;41;blue-collar;married;secondary;no;1459;no;no;unknown;-1;0;unknown
1308;48;technician;married;tertiary;no;0;no;no;telephone;-1;0;unknown
1309;31;management;married;secondary;no;625;yes;no;cellular;138;1;failure
1310;37;student;married;unknown;no;0;no;no;unknown;-1;0;unknown
1311;51;services;married;secondary;no;867;yes;no;cellular;211;3;failure
1312;80;retired;married;secondary;no;8304;no;no;telephone;64;12;failure
1313;32;management;single;tertiary;no;151;yes;no;unknown;-1;0;unknown
1314;48;services;married;primary;yes;-583;yes;no;unknown;-1;0;unknown
1315;49;blue-collar;married;tertiary;no;1784;no;no;unknown;-1;0;unknown
1316;30;management;married;tertiary;no;3134;yes;no;cellular;-1;0;unknown
1317;27;self-employed;single;secondary;no;49;yes;no;cellular;-1;0;unknown
1318;34;technician;married;secondary;no;-346;no;no;cellular;-1;0;unknown
1319;49;management;married;secondary;no;1623;yes;no;cellular;-1;0;unknown
1320;48;management;married;tertiary;no;60;no;no;telephone;339;7;failure
1321;40;services;married;secondary;no;17;no;no;cellular;-1;0;unknown
1322;38;blue-collar;married;secondary;no;2008;yes;no;cellular;-1;0;unknown
1323;46;blue-collar;married;primary;no;91;yes;no;cellular;356;2;failure
1324;41;entrepreneur;married;tertiary;no;171;yes;no;cellular;191;4;failure
1325;28;management;single;tertiary;no;1027;yes;no;cellular;-1;0;unknown
1326;51;services;married;unknown;no;5801;yes;no;unknown;-1;0;unknown
1327;33;blue-collar;divorced;primary;no;142;yes;no;telephone;300;5;failure
1328;26;management;single;tertiary;no;205;no;no;unknown;-1;0;unknown
1329;34;admin.;single;secondary;no;852;no;no;cellular;-1;0;unknown
1330;27;blue-collar;married;secondary;yes;-584;yes;no;cellular;-1;0;unknown
1331;42;self-employed;married;secondary;no;97;no;no;cellular;-1;0;unknown
1332;45;admin.;married;secondary;no;204;yes;no;cellular;-1;0;unknown
1333;31;technician;single;secondary;no;628;yes;no;unknown;-1;0;unknown
1334;32;management;single;tertiary;no;311;no;no;unknown;-1;0;unknown
1335;39;blue-collar;married;primary;no;1564;no;no;unknown;-1;0;unknown
1336;26;blue-collar;single;secondary;no;856;yes;yes;cellular;-1;0;unknown
1337;40;management;single;tertiary;no;1509;no;no;cellular;124;1;failure
1338;52;services;married;secondary;no;-888;no;no;cellular;-1;0;unknown
1339;40;technician;single;tertiary;no;226;no;no;cellular;-1;0;unknown
1340;48;technician;married;secondary;no;127;no;yes;cellular;-1;0;unknown
1341;31;services;married;secondary;no;413;yes;no;unknown;-1;0;unknown
1342;27;admin.;married;secondary;no;710;yes;yes;cellular;334;2;success
1343;47;technician;married;secondary;no;1233;yes;no;unknown;100;2;other
1344;28;management;single;secondary;no;171;no;no;cellular;-1;0;unknown
1345;40;management;divorced;tertiary;no;69;yes;no;cellular;280;2;failure
1346;34;admin.;married;secondary;no;1499;yes;no;cellular;327;2;failure
1347;29;self-employed;married;tertiary;no;751;yes;no;unknown;-1;0;unknown
1348;36;management;married;tertiary;no;61;no;yes;cellular;-1;0;unknown
1349;83;retired;married;primary;no;425;no;no;telephone;140;1;failure
1350;55;services;divorced;primary;no;2923;yes;no;unknown;-1;0;unknown
1351;43;management;divorced;tertiary;no;99;no;no;cellular;-1;0;unknown
1352;23;student;single;secondary;no;1021;no;no;telephone;-1;0;unknown
1353;44;technician;married;tertiary;no;1146;no;no;cellular;-1;0;unknown
1354;58;blue-collar;married;primary;no;781;yes;no;cellular;-1;0;unknown
1355;29;admin.;single;secondary;no;1448;no;no;cellular;184;7;other
1356;30;management;single;tertiary;no;604;no;yes;cellular;-1;0;unknown
1357;29;admin.;single;secondary;no;-194;yes;no;cellular;-1;0;unknown
1358;41;technician;married;secondary;no;0;no;no;cellular;-1;0;unknown
1359;35;housemaid;married;primary;no;0;yes;no;cellular;-1;0;unknown
1360;31;technician;single;secondary;no;1014;yes;no;cellular;-1;0;unknown
1361;27;admin.;single;tertiary;no;73;no;no;cellular;-1;0;unknown
1362;47;services;married;secondary;no;2597;yes;no;unknown;-1;0;unknown
1363;53;self-employed;married;tertiary;no;2627;yes;yes;unknown;-1;0;unknown
1364;34;management;married;tertiary;no;1906;yes;no;cellular;-1;0;unknown
1365;34;blue-collar;married;primary;no;-319;yes;yes;cellular;-1;0;unknown
1366;36;management;married;tertiary;no;-296;yes;no;cellular;-1;0;unknown
1367;40;technician;married;secondary;no;169;yes;no;cellular;-1;0;unknown
1368;37;self-employed;single;tertiary;no;556;no;no;unknown;-1;0;unknown
1369;65;retired;divorced;unknown;no;300;no;no;cellular;-1;0;unknown
1370;53;technician;divorced;secondary;no;751;yes;no;unknown;-1;0;unknown
1371;28;technician;single;secondary;no;126;no;no;cellular;-1;0;unknown
1372;33;technician;divorced;tertiary;no;-386;yes;no;unknown;-1;0;unknown
1373;56;blue-collar;married;primary;no;379;no;no;cellular;-1;0;unknown
1374;45;self-employed;married;secondary;no;706;no;no;cellular;176;1;success
1375;39;technician;married;secondary;no;9121;no;no;unknown;-1;0;unknown
1376;28;management;single;tertiary;no;1466;yes;no;cellular;-1;0;unknown
1377;36;blue-collar;married;primary;no;0;yes;no;cellular;-1;0;unknown
1378;41;blue-collar;married;primary;no;951;yes;no;cellular;-1;0;unknown
1379;46;admin.;married;secondary;no;368;no;no;cellular;90;4;other
1380;41;blue-collar;married;secondary;no;121;yes;no;cellular;176;5;other
1381;59;services;married;secondary;no;204;no;no;cellular;-1;0;unknown
1382;24;admin.;married;secondary;no;299;yes;no;cellular;321;1;failure
1383;34;management;married;tertiary;no;4170;yes;no;unknown;-1;0;unknown
1384;40;blue-collar;married;primary;no;-335;yes;no;unknown;-1;0;unknown
1385;42;admin.;married;secondary;no;3165;yes;no;unknown;-1;0;unknown
1386;50;services;married;secondary;no;254;yes;no;cellular;337;1;failure
1387;25;management;single;tertiary;no;553;yes;no;cellular;479;1;failure
1388;51;services;divorced;secondary;no;518;yes;no;telephone;-1;0;unknown
1389;50;management;married;tertiary;no;85;no;yes;cellular;-1;0;unknown
1390;37;blue-collar;married;unknown;no;603;yes;no;unknown;-1;0;unknown
1391;21;services;single;secondary;no;361;no;no;telephone;95;1;other
1392;52;blue-collar;married;secondary;no;-98;yes;no;unknown;-1;0;unknown
1393;55;retired;married;primary;no;4424;no;no;cellular;-1;0;unknown
1394;26;technician;single;secondary;no;2610;yes;yes;unknown;-1;0;unknown
1395;38;technician;married;tertiary;no;3234;no;no;cellular;-1;0;unknown
1396;32;blue-collar;married;secondary;no;687;yes;no;unknown;-1;0;unknown
1397;31;blue-collar;married;secondary;no;631;yes;no;unknown;-1;0;unknown
1398;34;technician;single;secondary;no;341;no;yes;cellular;262;3;failure
1399;33;technician;single;tertiary;no;316;no;no;cellular;-1;0;unknown
1400;35;technician;married;secondary;no;2;no;no;telephone;-1;0;unknown
1401;44;management;married;unknown;no;415;yes;no;telephone;-1;0;unknown
1402;48;management;divorced;tertiary;no;507;yes;no;cellular;-1;0;unknown
1403;29;blue-collar;married;secondary;no;912;yes;no;cellular;-1;0;unknown
1404;50;management;married;tertiary;no;0;no;no;cellular;-1;0;unknown
1405;37;blue-collar;married;primary;no;37;yes;no;cellular;362;1;other
1406;44;admin.;single;secondary;no;2524;no;no;unknown;-1;0;unknown
1407;36;unemployed;single;tertiary;no;9019;yes;no;unknown;-1;0;unknown
1408;49;blue-collar;divorced;unknown;no;39;yes;no;cellular;-1;0;unknown
1409;31;blue-collar;married;secondary;no;0;yes;no;unknown;-1;0;unknown
1410;49;technician;divorced;secondary;no;265;yes;no;unknown;-1;0;unknown
1411;35;blue-collar;single;secondary;no;0;yes;no;cellular;345;4;other
1412;57;admin.;divorced;unknown;no;4012;no;no;cellular;-1;0;unknown
1413;42;blue-collar;married;primary;no;1520;yes;no;cellular;-1;0;unknown
1414;36;blue-collar;divorced;secondary;no;-140;yes;no;unknown;-1;0;unknown
1415;75;retired;divorced;primary;no;852;no;no;cellular;-1;0;unknown
1416;38;blue-collar;single;secondary;no;578;yes;no;unknown;-1;0;unknown
1417;40;blue-collar;married;primary;yes;0;yes;no;unknown;-1;0;unknown
1418;38;services;single;secondary;no;2253;yes;no;cellular;-1;0;unknown
1419;34;management;single;tertiary;no;1171;yes;no;cellular;-1;0;unknown
1420;29;technician;single;tertiary;no;452;yes;no;cellular;-1;0;unknown
1421;28;admin.;married;secondary;no;-97;yes;no;cellular;225;2;success
1422;79;retired;married;secondary;no;4738;no;no;telephone;-1;0;unknown
1423;51;admin.;divorced;secondary;no;467;yes;no;unknown;-1;0;unknown
1424;32;student;single;tertiary;no;0;no;no;cellular;3;6;other
1425;36;management;married;tertiary;no;495;no;no;cellular;97;2;success
1426;38;entrepreneur;married;secondary;no;157;no;yes;cellular;366;1;other
1427;49;self-employed;married;secondary;no;358;yes;yes;unknown;-1;0;unknown
1428;42;services;married;secondary;no;292;yes;no;cellular;-1;0;unknown
1429;43;blue-collar;married;primary;no;7343;yes;no;unknown;-1;0;unknown
1430;34;blue-collar;married;secondary;no;-563;yes;no;unknown;-1;0;unknown
1431;59;retired;single;secondary;no;351;yes;no;unknown;-1;0;unknown
1432;35;unknown;married;primary;no;365;no;no;cellular;-1;0;unknown
1433;33;blue-collar;single;secondary;no;13494;yes;no;unknown;-1;0;unknown
1434;34;admin.;single;secondary;no;846;yes;no;cellular;-1;0;unknown
1435;64;retired;married;secondary;no;1574;no;no;telephone;-1;0;unknown
1436;34;entrepreneur;married;tertiary;no;-28;yes;no;cellular;-1;0;unknown
1437;77;retired;married;tertiary;no;0;no;no;cellular;60;1;success
1438;57;retired;married;primary;no;2927;no;yes;telephone;-1;0;unknown
1439;30;blue-collar;married;secondary;no;501;yes;yes;unknown;-1;0;unknown
1440;56;housemaid;divorced;primary;yes;1238;no;no;unknown;-1;0;unknown
1441;49;unknown;married;unknown;no;301;no;no;cellular;-1;0;unknown
1442;73;retired;married;primary;no;1388;no;no;cellular;190;3;success
1443;39;technician;single;secondary;no;102;yes;no;cellular;-1;0;unknown
1444;57;technician;divorced;primary;no;13;yes;no;cellular;368;2;failure
1445;32;self-employed;married;secondary;no;413;yes;no;cellular;-1;0;unknown
1446;32;technician;single;tertiary;no;4665;yes;no;unknown;-1;0;unknown
1447;45;admin.;married;secondary;no;638;yes;no;cellular;-1;0;unknown
1448;32;blue-collar;married;secondary;no;101;yes;no;unknown;-1;0;unknown
1449;31;management;married;tertiary;no;1224;yes;yes;cellular;-1;0;unknown
1450;49;self-employed;married;secondary;no;1103;no;no;cellular;-1;0;unknown
1451;29;services;married;secondary;no;3748;no;no;cellular;-1;0;unknown
1452;55;technician;married;secondary;no;955;yes;no;cellular;-1;0;unknown
1453;30;admin.;married;secondary;no;518;yes;no;cellular;-1;0;unknown
1454;45;services;single;primary;no;1893;yes;no;unknown;-1;0;unknown
1455;39;technician;married;tertiary;no;14;no;no;cellular;-1;0;unknown
1456;36;admin.;married;secondary;no;-423;yes;yes;unknown;-1;0;unknown
1457;33;management;married;tertiary;no;3696;no;no;cellular;182;3;failure
1458;36;management;married;tertiary;no;2987;yes;no;cellular;-1;0;unknown
1459;31;technician;single;secondary;no;433;no;no;cellular;-1;0;unknown
1460;36;technician;married;unknown;no;756;no;no;cellular;-1;0;unknown
1461;38;technician;single;tertiary;no;0;yes;no;cellular;-1;0;unknown
1462;33;unknown;married;secondary;no;2727;no;no;cellular;-1;0;unknown
1463;40;technician;married;secondary;no;93;yes;no;unknown;-1;0;unknown
1464;31;blue-collar;married;secondary;no;1766;no;yes;cellular;-1;0;unknown
1465;39;services;married;secondary;no;124;yes;no;cellular;-1;0;unknown
1466;33;admin.;married;tertiary;no;69;no;yes;cellular;-1;0;unknown
1467;53;services;divorced;secondary;no;0;no;no;cellular;-1;0;unknown
1468;38;management;married;tertiary;no;0;yes;no;cellular;303;2;failure
1469;59;technician;married;secondary;no;259;no;no;cellular;89;1;success
1470;55;blue-collar;married;primary;no;4103;no;no;cellular;-1;0;unknown
1471;38;technician;single;tertiary;no;744;yes;no;cellular;288;12;other
1472;48;services;married;secondary;no;116;yes;no;telephone;-1;0;unknown
1473;53;blue-collar;married;secondary;no;70;yes;no;unknown;-1;0;unknown
